Column1;Column2
merti;mrzeć
merža;mrzeża
mesti;mieść
metati;miotać
metъla;miotła
mědь;miedź
mělь;miał
mělъkъ;miałki
měna;miana
měniti;mienić
měra;miara
měriti;mierzyć
měsęcь;miesiąc
měsiti;miesić
město;miasto
mětiti;miecić
měxъ;miech
měxyrь;mecherz
mězga;miazga
mę;mię
męknǫti;mięknąć
mękъkъ;miękki
mękyna;miękina
męso;mięso
męta;mięta
męti;miąć
migati;migać
migъ;mig
mijati;mijać
milostь;miłość
milъ;miły
mimo;mimo
minovati;minować
minǫti;minąć
miroslavъ;mirosław
mirъ;mir
misa;misa
misъka;miska
mьčь;miecz
mьgla;mgła
mьlčati;milczeć
mьlknǫti;milknąć
mьněti;mnieć
mьňьjь;mniejszy
mьrknǫti;mierzchnąć
mьrtvъ;martwy
mьrzěti;mierzieć
mьrziti;mierzić
mьrznǫti;marznąć
mьstislavъ;mścisław
mьstiti;mścić
mьstivojь;mściwoj
mьstivujь;mściwuj
mьstь;msta
mьzda;mzda
mьžuriti;mrużyć
mlinъ;mlin
moča;mocz
močiti;moczyć
modla;modła
modliti;modlić
modlitva;modlitwa
modrъ;modry
mogyla;mogiła
mojь;mój
mokošь;mokosz
mokrъ;mokry
moldenьcь;młodzieniec
moldežь;młodzież
moldostь;młodość
moldъ;młody
moltiti;młócić
molto;młóto
moltъ;młot
moľь;mól
mora;mora
morčiti;mroczyć
moriti;morzyć
morkъ;mrok
morъ;mór
morvъ;mrówka
morzъ;mróz
moře;morze
mosędzь;mosiądz
mostъ;most
mošьna;moszna
motati;motać
motyka;motyka
motyľь;motyl
moťi;móc
moťь;moc
mozgъ;mózg
mǫčiti;męczyć
mǫdo;mądа
mǫdrьcь;mędrzec
mǫdrostь;mądrość
mǫdrъ;mądry
mǫka;męka
mǫtiti;mącić
mǫžь;mąż
mǫžьskъ;męski
muditi;mudzić
muxa;mucha
mъdьlь;mdły
mъknǫti;mknąć
mъlva;mowa
mъlviti;mówić
mъnogъ;mnogi
mъrdati;merdać
mъrgati;mrugać
mъrky;marchew
mъrščiti;marszczyć
mъšica;mszyca
mъxъ;mech
my;my
mydlo;mydło
myslěti;myśleć
mysliti;myśleć
myslь;myśl
mysľati;myślać
myšь;mysz
mytělь;myciel
myti;myć
myto;myto
na;na
načęti;nacząć
nadъ;nad
naglъ;nagły
nagorda;nagroda
nagъ;nagi
najьti;najść
napisati;napisać
napitъkъ;napitek
napьrstъkъ;naparstek
narěčьje;narzecze
narodъ;naród
naskakati;naskakać
nastrojь;nastrój
našь;nasz
natь;nać
nauka;nauka
navykъ;nawyk
ne;nie
nebesьskъ;niebieski
nebo;niebo
nebogъ;niebogi
nebojь;niebój
neděľa;niedziela
nenavistь;nienawiść
nerstъ;nerest
nestera;nieściora
nesti;nieść
netьjь;nieć
netopyřь;nietoperz
nevěsta;niewiasta
něga;niega
němьcь;niemiec
němьčьskъ;niemiecki
němъ;niemy
nětu;niet
ni;ni
ničьto;nic
niknǫti;niknąć
nikъde;nigdzie
nikъto;nikt
niščь;niszczotny
nitь;nić
nizati;nizać
nizina;nizina
nizъkъ;niski
nižьjь;niższy
nьje;nie
ňiva;niwa
ňuxati;niuchać
noga;noga
nogъtь;nogieć
nora;nora
noriti;norzyć
norvъ;narów
nosačь;nosacz
nositi;nosić
nosъ;nos
noťь;noc
novakъ;nowak
novějь;nowszy
novъ;nowy
nozdra;nozdrze
nožь;nóż
nuditi;nudzić
nuďa;nędza
nuriti;nurzyć
nъťьvy;niecki
nyně;ninie
nyti;nyć
o;o
ob;o
obrokъ;orok
oba;oba
obaditi;obwadzić
obědъ;obiad
oběťati;obiecać
obьlъ;obły
obьťь;obcy
obolkъ;obłok
obora;obora
obrazъ;obraz
obrędъ;obrzęd
obrokъ;obrok
obrǫčь;obręcz
obrusъ;obrus
obrъtь;obryć
osada;osada
osadъ;osad
osoka;osoka
otekъ;ociek
otokъ;otok
obuti;obuć
obuvati;obuwać
obuvь;obuwie
obvida;obida
obyčajь;obyczaj
ocьtъ;ocet
odeďa;odziedza
odolěnъ;odolan
odolěti;podołać
ogarь;ogar
ogňišče;ogniszcze
ogňь;ogień
ogъ;og
oje;oje
oko;oko
okolo;około
okovъ;okowy
okunevъ;okuniowy
okunь;okoń
okъno;okno
olbǫdь;łabędź
olčьnъ;łaczny
oldi;łódź
olějь;olej
olkati;łaknąć
olkomъ;łakomy
olkъtь;łokieć
olnę;łanię
olni;łania
olovo;ołów
olsь;łoś
omanъ;oman
oměgъ;omieg
onamo;onam
onuťa;onuca
onъ;on
opica;opica
oporęditi;oporządzić
orati;orać
orba;roba
orbę;robię
orbiti;robić
orbota;robota
orbotędzь;robociądz
ordlo;radło
orěxъ;orzech
orьlъ;orzeł
orkyta;rokita
orlьja;rola
ormę;ramię
orǫdьje;orędzie
orǫga;oręż
orǫžьje;oręże
orsti;róść
orstiti;rościć
orstъ;rost
ortajь;rataj
orvьnina;równina
orvьnъ;równy
orz;roz
orzьnъ;różny
orzkošь;rozkosz
orzkrǫtiti;rozkręcić
